 ,Area,XM,YM
772,41,281.524,133.085
773,42,280.857,132.69
774,44,281.0,133.0
775,41,281.5,133.256
776,42,282.167,133.5
777,44,282.864,133.591
778,44,284.0,134.0
779,43,285.43,134.779
780,42,286.643,135.738
781,43,287.081,136.477
782,42,286.833,137.5
783,44,287.114,138.273
784,40,287.5,138.0
785,43,287.5,137.36
786,44,287.136,136.545
787,43,287.477,136.919
788,42,287.667,137.548
789,44,287.909,138.364
790,42,288.167,138.5
791,42,288.619,137.905
792,42,289.881,136.548
793,43,290.616,135.384
794,41,290.5,134.256
795,41,289.5,135.256
796,42,289.0,136.5
797,42,288.667,137.548
798,41,288.524,137.085
799,42,288.69,135.571
800,42,288.548,134.0
801,41,288.5,133.744
802,41,289.256,135.159
803,42,289.905,136.31
804,41,289.476,136.915
805,43,288.919,136.477
806,42,288.571,135.31
807,42,288.0,135.452
808,44,287.318,136.091
809,43,287.081,136.477
810,40,287.45,136.475
811,41,288.5,136.256
812,42,288.476,136.167
813,43,287.779,136.43
814,43,287.081,136.477
815,42,286.167,136.5
816,42,285.429,136.69
817,44,284.0,137.5
818,42,281.69,138.429
819,40,278.7,138.425
820,42,276.405,137.738
821,42,274.429,137.31
822,45,273.189,137.233
823,43,273.081,137.477
824,42,273.833,138.5
825,42,274.833,140.5
826,40,276.475,142.825
827,41,278.5,144.744
828,41,280.5,144.744
829,41,281.5,143.256
830,45,281.767,142.3
831,41,280.5,142.256
832,42,278.0,142.452
833,41,276.524,142.915
834,43,276.174,143.663
835,40,277.5,144.0
836,43,279.5,143.64
837,42,281.429,143.31
838,40,282.425,143.85
839,43,282.942,144.616
840,43,283.384,144.616
841,43,283.221,144.43
842,41,282.476,144.085
843,43,282.221,144.43
844,45,282.5,144.5
845,44,283.568,144.455
846,41,285.5,144.256
847,42,287.714,143.167
848,41,290.5,141.744
849,43,292.733,140.733
850,44,294.909,140.432
851,42,295.667,141.548
852,41,295.524,144.085
853,41,294.256,146.5
854,42,292.976,148.238
855,41,292.646,149.354
856,42,292.571,149.69
857,43,292.64,149.5
858,42,293.167,148.5
859,42,294.429,147.31
860,42,295.31,145.429
861,42,295.762,142.952
862,43,296.105,141.779
863,42,295.429,142.31
864,41,294.524,144.085
865,43,294.43,145.779
866,42,295.357,146.738
867,44,296.5,147.0
868,42,296.69,145.571
869,43,296.616,143.942
870,43,296.919,142.477
871,44,297.0,141.5
872,43,297.012,140.64
873,46,297.5,140.413
874,44,298.591,140.136
875,42,299.714,139.286
876,42,301.0,136.833
877,42,302.571,134.69
878,43,305.081,133.128
879,43,306.779,132.57
880,41,306.5,133.744
881,41,304.524,135.915
882,41,302.744,137.5
883,42,301.738,138.357
884,44,301.705,139.614
885,44,302.5,140.273
886,45,303.456,140.344
887,42,303.833,139.5
888,41,303.598,138.232
889,42,304.69,136.429
890,41,305.5,134.256
891,41,305.5,133.256
892,43,305.57,134.221
893,42,305.5,135.833
894,41,304.476,137.085
895,43,304.523,136.081
896,42,305.333,134.548
897,42,306.429,133.69
898,41,306.5,134.256
899,41,305.744,135.5
900,44,305.091,136.136
901,43,304.523,136.081
902,43,305.035,135.221
903,41,306.5,134.744
904,43,307.756,135.035
905,44,309.0,135.5
